old_name,new_name
.,NA
-Fabryczna,Fabryczna
ia,NA
-Krzyki,Krzyki
Mieszkanie ,NA
Nowe mieszkanie ,NA
-Psie Pole,Psie Pole
-Stare Miasto,Stare Miasto
-Śródmieście,Śródmieście
/Wysoka,Krzyki
 ,NA
 .,NA
 Bieńkowice,Krzyki
 Biskupin,Śródmieście
 Borek,Krzyki
 Brochów,Krzyki
 Centrum,Stare Miasto
 Centrum-Rynek,Stare Miasto
 Fabryczna,Fabryczna
 Fabryczna/Grabiszyn,Fabryczna
 Fabryczna/Muchobór Wielki,Fabryczna
 Fabryczna Gądów,Fabryczna
 Fabryczna Gądów Mały,Fabryczna
 Fabryczna Grabiszyn,Fabryczna
 Fabryczna Grabiszynek,Fabryczna
 Fabryczna Jerzmanowo,Fabryczna
 Fabryczna Kozanów,Fabryczna
 Fabryczna Kuźniki,Fabryczna
 Fabryczna Kużniki,Fabryczna
 Fabryczna Leśnica,Fabryczna
 Fabryczna Maslice,Fabryczna
 Fabryczna Maślice,Fabryczna
 Fabryczna Muchobór,Fabryczna
 Fabryczna Muchobór Mały,Fabryczna
 Fabryczna Muchobór Wielki,Fabryczna
 Fabryczna Muchobór Wielski,Fabryczna
 Fabryczna Nowy Dwór,Fabryczna
 Fabryczna Oporów,Fabryczna
 Fabryczna Pilczyce,Fabryczna
 Fabryczna Popowice,Fabryczna
 Fabryczna Stabłowice,Fabryczna
 Fabryczna Stabłowice Stare,Fabryczna
 Fabryczna Szczepin,Fabryczna
 Fabryczna Złotniki,Fabryczna
 Fabryczna Żerniki,Fabryczna
 Fabryczna / Gądów Mały,Fabryczna
 Fabryczna / Stabłowice,Fabryczna
 Gaj,Krzyki
 Gajowice,Fabryczna
 Gądów Mały,Fabryczna
 Grabiszyn,Fabryczna
 Grabiszynek,Fabryczna
 Huby,Krzyki
 Jagodno,Krzyki
 Karłowice,Psie Pole
 Kępa Mieszczańska,Stare Miasto
 Kiełczów,Psie Pole
 Klecina,Krzyki
 Kleczków,Psie Pole
 Kłokoczyce,Psie Pole
 Komorowice,Brak
 Kozanów,Fabryczna
 Krzyki,Krzyki
 Krzyki-Borek,Krzyki
 Krzyki/Borek,Krzyki
 Krzyki/Brochów,Krzyki
 Krzyki-Gaj,Krzyki
 Krzyki-Huby,Krzyki
 Krzyki-Klecina,Krzyki
 Krzyki/Klecina,Krzyki
 Krzyki/Partynice,Krzyki
 Krzyki/Wojszyce,Krzyki
 Krzyki Borek,Krzyki
 Krzyki Brochów,Krzyki
 Krzyki Dworek,Krzyki
 Krzyki/ Gaj,Krzyki
 Krzyki Gaj,Krzyki
 Krzyki Grabiszyn,Krzyki
 Krzyki Grabiszynek,Krzyki
 Krzyki Huby,Krzyki
 Krzyki Jagodno,Krzyki
 Krzyki Klecina,Krzyki
 Krzyki Klecina Skarbowców,Krzyki
 Krzyki Krzyki,Krzyki
 Krzyki Książe Małe,Krzyki
 Krzyki/ Księże Małe,Krzyki
 Krzyki Księże Małe,Krzyki
 Krzyki Księże Wielkie,Krzyki
 Krzyki Oławskie Przedmieście,Krzyki
 Krzyki Ołtaszyn,Krzyki
 Krzyki Ołtaszyn Wysoka,Krzyki
 Krzyki/ Partynice,Krzyki
 Krzyki Partynice,Krzyki
 Krzyki Południe,Krzyki
 Krzyki Przedmieście Oławskie,Krzyki
 Krzyki Rakowiec,Krzyki
 Krzyki Skarbowców,Krzyki
 Krzyki/ Tarnogaj,Krzyki
 Krzyki Tarnogaj,Krzyki
 Krzyki Wojszyce,Krzyki
 Krzyki Wysoka,Krzyki
 Krzyki - Borek,Krzyki
 Krzyki / Borek,Krzyki
 Krzyki / Brochów,Krzyki
 Krzyki / Huby,Krzyki
 Krzyki / Jagodno,Krzyki
 Krzyki / Krzyki,Krzyki
 Krzyki / Ołtaszyn,Krzyki
 Krzyki / Partynice,Krzyki
 Krzyki / Południe,Krzyki
 Książe Małe,Krzyki
 Książe Wielkie,Krzyki
 Księże Małe,Krzyki
 Księże Wielkie,Krzyki
 Kuzniki,Fabryczna
 Kuźniki,Fabryczna
 Kzyki,Krzyki
 Leśnica,Fabryczna
 Lipa Piotrowska,Brak
 Marszowice,Fabryczna
 Maślice,Fabryczna
 Muchobór Mały,Fabryczna
 Muchobór Wielki,Fabryczna
 Nadodrze,Śródmieście
 Nowy Dwór,Fabryczna
 Okazja ! Opcja 4 Oddzielnych Pokoi.,NA
 Ołbin,Śródmieście
 Ołtaszyn,Krzyki
 Oporów,Fabryczna
 Oporów Oporów,Fabryczna
 Osobowice,Psie Pole
 Os. Ołbin,Śródmieście
 Partynice,Krzyki
 Pilczyce,Fabryczna
 Plac Grunwaldzki,Śródmieście
 Pl. Grunwaldzki,Śródmieście
 Polanka,Psie Pole
 Polanowice,Psie Pole
 Południe,Krzyki
 Popowice,Fabryczna
 Poświętne,Psie Pole
 Pracze Odrzańskie,Fabryczna
 Przedmieście Oławskie,Krzyki
 Psie Pole,Psie Pole
 Psie Pole/Karłowice,Psie Pole
 Psie Pole/Psie Pole,Psie Pole
 Psie Pole/Różanka,Psie Pole
 Psie Pole Karłowice,Psie Pole
 Psie Pole Kiełczów,Psie Pole
 Psie Pole Osiedle Cynamonowe,Psie Pole
 Psie Pole Pawłowice,Psie Pole
 Psie Pole Polanowice,Psie Pole
 Psie Pole Psie Pole,Psie Pole
 Psie Pole Różanka,Psie Pole
 Psie Pole Sołtysowice,Psie Pole
 Psie Pole Swojczyce,Psie Pole
 Psie Pole Zakrzów,Psie Pole
 Psie Pole / Psie Pole,Psie Pole
 Psie Pole / Wojnów,Psie Pole
 Rakowiec,Krzyki
 Różanka,Psie Pole
 Sępolno,Śródmieście
 Sołtysowice,Psie Pole
 Sródmieście,Śródmieście
 Stabłowice,Fabryczna
 Stare Miast,Stare Miasto
 Stare Miasto,Stare Miasto
 Stare Miasto Centrum,Stare Miasto
 Stare Miasto Ok. Rynku,Stare Miasto
 Stare Miasto Rakowiec,Stare Miasto
 Stare Miasto Rynek,Stare Miasto
 Stare Miasto Stare Miasto,Stare Miasto
 Stare Miasto Starówka,Stare Miasto
 Stare Miasto Szczepin,Stare Miasto
 Stare Miasto / Stare Miasto,Stare Miasto
 Swojczyce,Psie Pole
 Szczepin,Stare Miasto
 Śródmieście,Śródmieście
 Śródmieście/Dąbie,Śródmieście
 Śródmieście/Nadodrze,Śródmieście
 Śródmieście/Ołbin,Śródmieście
 Śródmieście/Plac Grunwaldzki,Śródmieście
 Śródmieście Biskupin,Śródmieście
 Śródmieście Centrum,Śródmieście
 Śródmieście Grunwaldzka,Śródmieście
 Śródmieście/ Nadodrze,Śródmieście
 Śródmieście Nadodrze,Śródmieście
 Śródmieście Ołbin,Śródmieście
 Śródmieście Plac Grunwaldzki,Śródmieście
 Śródmieście Sępolno,Śródmieście
 Śródmieście Szczytniki,Śródmieście
 Śródmieście Śródmieście,Śródmieście
 Śródmieście Zacisze,Śródmieście
 Śródmieście Zalesie,Śródmieście
 Śródmieście / Pl. Św Macieja,Śródmieście
 Śródmieście / Sępolno,Śródmieście
 Śródmieście / Zacisze,Śródmieście
 Tarnogaj,Krzyki
 Widawa,Psie Pole
 Wojnów,Psie Pole
 Wojszyce,Krzyki
 Wysoka,Krzyki
 Zacisze,Śródmieście
 Zakrzów,Śródmieście
 Zalesie,Śródmieście
 Złotniki,Fabryczna
 Żerniki,Fabryczna
 / Sródmieśce,Śródmieście
